Page,IliadLine
urn:cite2:hmt:msApages.v1:57v,urn:cts:greekLit:tlg0012.tlg001.msA:4.318
urn:cite2:hmt:msApages.v1:57v,urn:cts:greekLit:tlg0012.tlg001.msA:4.326
urn:cite2:hmt:msApages.v1:58r,urn:cts:greekLit:tlg0012.tlg001.msA:4.338
urn:cite2:hmt:msApages.v1:58r,urn:cts:greekLit:tlg0012.tlg001.msA:4.350
urn:cite2:hmt:msApages.v1:58r,urn:cts:greekLit:tlg0012.tlg001.msA:4.358
urn:cite2:hmt:msApages.v1:58v,urn:cts:greekLit:tlg0012.tlg001.msA:4.364
urn:cite2:hmt:msApages.v1:58v,urn:cts:greekLit:tlg0012.tlg001.msA:4.370
urn:cite2:hmt:msApages.v1:59r,urn:cts:greekLit:tlg0012.tlg001.msA:4.401
urn:cite2:hmt:msApages.v1:59r,urn:cts:greekLit:tlg0012.tlg001.msA:4.404
urn:cite2:hmt:msApages.v1:59v,urn:cts:greekLit:tlg0012.tlg001.msA:4.412
urn:cite2:hmt:msApages.v1:59v,urn:cts:greekLit:tlg0012.tlg001.msA:4.419
urn:cite2:hmt:msApages.v1:59v,urn:cts:greekLit:tlg0012.tlg001.msA:4.422
urn:cite2:hmt:msApages.v1:61v,urn:cts:greekLit:tlg0012.tlg001.msA:4.509
urn:cite2:hmt:msApages.v1:62r,urn:cts:greekLit:tlg0012.tlg001.msA:4.514
urn:cite2:hmt:msApages.v1:62v,urn:cts:greekLit:tlg0012.tlg001.msA:5.8
urn:cite2:hmt:msApages.v1:62v,urn:cts:greekLit:tlg0012.tlg001.msA:5.31
urn:cite2:hmt:msApages.v1:63r,urn:cts:greekLit:tlg0012.tlg001.msA:5.35
urn:cite2:hmt:msApages.v1:63r,urn:cts:greekLit:tlg0012.tlg001.msA:5.49
urn:cite2:hmt:msApages.v1:63v,urn:cts:greekLit:tlg0012.tlg001.msA:5.69
urn:cite2:hmt:msApages.v1:63v,urn:cts:greekLit:tlg0012.tlg001.msA:5.76
urn:cite2:hmt:msApages.v1:63v,urn:cts:greekLit:tlg0012.tlg001.msA:5.84
urn:cite2:hmt:msApages.v1:64r,urn:cts:greekLit:tlg0012.tlg001.msA:5.102
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.111
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.115
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.121
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.124
urn:cite2:hmt:msApages.v1:64v,urn:cts:greekLit:tlg0012.tlg001.msA:5.133
urn:cite2:hmt:msApages.v1:65v,urn:cts:greekLit:tlg0012.tlg001.msA:5.161
urn:cite2:hmt:msApages.v1:65v,urn:cts:greekLit:tlg0012.tlg001.msA:5.171
urn:cite2:hmt:msApages.v1:65v,urn:cts:greekLit:tlg0012.tlg001.msA:5.180
urn:cite2:hmt:msApages.v1:66v,urn:cts:greekLit:tlg0012.tlg001.msA:5.218
urn:cite2:hmt:msApages.v1:66v,urn:cts:greekLit:tlg0012.tlg001.msA:5.230
urn:cite2:hmt:msApages.v1:67r,urn:cts:greekLit:tlg0012.tlg001.msA:5.239
urn:cite2:hmt:msApages.v1:67r,urn:cts:greekLit:tlg0012.tlg001.msA:5.243
urn:cite2:hmt:msApages.v1:67r,urn:cts:greekLit:tlg0012.tlg001.msA:5.252
